"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0.6478783218212,0,0,0,0,0.185612346423588,0,0,0,0,0,-0.22260687131021,0
"BRA",0,0,0,0,-0.527452388215081,0,-0.300776819962821,0,0,0,0,0,0,0,0.167977248106217,0.250504830335429
"CAN",0,0.6478783218212,0,0,-0.205596089398294,0,0,0.230403556571673,0,0,0,0.15556082613038,0,0,0.246705214910095,-0.215561637914225
"CHN",0,0,-0.527452388215081,-0.205596089398294,0,0,-0.283188885426887,0,0,0,0,0,0,0.25113022638881,0,0
"FRA",0,0,0,0,0,0,0.250302617724188,0,0.199914525767159,0,0,0.248438748139986,0,0,0,0
"GER",0,0,-0.300776819962821,0,-0.283188885426888,0.250302617724188,0,0,0,0,0,0,0,0,0,0.205017678279461
"IND",0,0,0,0.230403556571673,0,0,0,0,-0.16279492265272,-0.303578155133908,-0.175734629926945,0,0,0,0,0
"JPN",0,0.185612346423588,0,0,0,0.199914525767159,0,-0.16279492265272,0,-0.211196333127734,0,-0.14948178120688,0,0,0.25312312351016,0
"KOR",0,0,0,0,0,0,0,-0.303578155133908,-0.211196333127734,0,0,-0.186031685028012,0,0,0,0.242129635130777
"MEX",0,0,0,0,0,0,0,-0.175734629926945,0,0,0,0.247566278610782,-0.389910278800604,0.244751017397717,0,0.157077607833925
"RUS",0,0,0,0.15556082613038,0,0.248438748139986,0,0,-0.14948178120688,-0.186031685028012,0.247566278610782,0,0,-0.211401089591034,0,0
"SIN",0,0,0,0,0,0,0,0,0,0,-0.389910278800604,0,0,0,0,0.151421862398464
"THA",0,0,0,0,0.25113022638881,0,0,0,0,0,0.244751017397717,-0.211401089591034,0,0,0,0
"UK",0,-0.22260687131021,0.167977248106217,0.246705214910095,0,0,0,0,0.25312312351016,0,0,0,0,0,0,0
"US",0,0,0.250504830335429,-0.215561637914225,0,0,0.205017678279461,0,0,0.242129635130777,0.157077607833925,0,0.151421862398464,0,0,0
