"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0,0.0996910815697156,0.301867926366742,0.325489895774477,0.0969137286798012,0.127124589155565,0,0,-0.22967970294868,0.184584343688365,0,0.121249026465931,0,-0.1572362397346,-0.122336877079258
"AUS",0,0,0.183246321900243,0.520197391177017,0,-0.198308703623107,0,0,0.233051232798631,0.368744934514811,0.103543719798324,-0.11594665011381,0,0.148522521077723,0.133394587897732,0.219421407293003
"BRA",0.0996910815697156,0.183246321900243,0,-0.16768552022442,-0.352403970120315,0,0,0.249276813392959,-0.299891068915379,-0.248478346723412,0.197688772423778,0,0,0,-0.0883757005939278,0
"CAN",0.301867926366742,0.520197391177017,-0.16768552022442,0,-0.265259542904138,0,0.11016457317016,0.13487628149436,0.197002592878533,-0.16815744108481,-0.127173551199865,0.328528015949169,0.163312703001155,0,0,0.219296272576572
"CHN",0.325489895774477,0,-0.352403970120315,-0.265259542904138,0,-0.127576114118242,0,0.700025781945847,-0.115758874418485,-0.142958411905918,0,0.144050877562982,0.142096392308086,0.161083987970852,0,0
"FRA",0.0969137286798012,-0.198308703623107,0,0,-0.127576114118242,0,0.604763926540046,0,0.264515632379264,0,0.20267485059904,0,-0.123161884853872,0.106710265054244,0.168095950921109,0.207839502440755
"GER",0.127124589155565,0,0,0.11016457317016,0,0.604763926540046,0,0.0966765347399838,-0.126244670344443,0,-0.101885158968195,0.123185812277787,0.175735808387671,0,0.340329436462624,0
"IND",0,0,0.249276813392959,0.13487628149436,0.700025781945847,0,0.0966765347399838,0,0.21583459875608,0.201534275933645,0,-0.103525466098853,-0.257534389171058,-0.121486711430695,0,-0.0979397765140143
"JPN",0,0.233051232798631,-0.299891068915379,0.197002592878533,-0.115758874418485,0.264515632379264,-0.126244670344443,0.21583459875608,0,0,-0.120242919440623,0.0941742850559316,0.342289313867375,-0.229294793041441,-0.316492996490121,0
"KOR",-0.22967970294868,0.368744934514811,-0.248478346723412,-0.16815744108481,-0.142958411905918,0,0,0.201534275933645,0,0,0.426967240482825,0.169003908069376,0.102529559190174,-0.0892420818055115,0.168199510131815,0.154329979410374
"MEX",0.184584343688365,0.103543719798324,0.197688772423778,-0.127173551199865,0,0.20267485059904,-0.101885158968195,0,-0.120242919440623,0.426967240482825,0,0.137925223666272,0,0,0,0
"RUS",0,-0.11594665011381,0,0.328528015949169,0.144050877562982,0,0.123185812277787,-0.103525466098853,0.0941742850559316,0.169003908069376,0.137925223666272,0,0,0,-0.28612575561737,-0.186594368634226
"SIN",0.121249026465931,0,0,0.163312703001155,0.142096392308086,-0.123161884853872,0.175735808387671,-0.257534389171058,0.342289313867375,0.102529559190174,0,0,0,0.424498378300485,0.362478764985245,0
"THA",0,0.148522521077723,0,0,0.161083987970851,0.106710265054244,0,-0.121486711430695,-0.229294793041441,-0.0892420818055115,0,0,0.424498378300485,0,-0.180006768825887,0
"UK",-0.1572362397346,0.133394587897732,-0.0883757005939278,0,0,0.168095950921109,0.340329436462624,0,-0.316492996490121,0.168199510131815,0,-0.28612575561737,0.362478764985245,-0.180006768825887,0,-0.0890665977657732
"US",-0.122336877079258,0.219421407293003,0,0.219296272576572,0,0.207839502440755,0,-0.0979397765140143,0,0.154329979410374,0,-0.186594368634226,0,0,-0.0890665977657732,0
