"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,-0.210424134919271,-0.203927289008705,0,0,0,0,0,0.31190976487711,0,0.179926321732946,-0.202667001205706,0,0,0,0
"AUS",-0.210424134919271,0,-0.236709184744175,0.637737689271171,0.191987028852534,0.28872709054119,0,0,0,0,0,0,0,-0.290399149090933,-0.293516831785036,-0.22201445128432
"BRA",-0.203927289008705,-0.236709184744175,0,0.484277399410164,-0.219638687228524,0.191474549015069,0,0.187891796330618,0,0.18702745913282,-0.219157944591218,0.430672243012393,0.205187810559275,-0.259276337125091,-0.153474147931391,0.192379032548248
"CAN",0,0.637737689271171,0.484277399410164,0,-0.179817142368698,0,0,0,0,-0.249923164956003,0.560698068637273,-0.296982453790753,-0.170288544678917,0.271293567752576,0,0
"CHN",0,0.191987028852534,-0.219638687228524,-0.179817142368698,0,0.491357912566409,-0.477128265276835,0.292793493055292,0,-0.155455336362977,0,0.166028084858932,0,0,0,0.580721849588376
"FRA",0,0.28872709054119,0.19147454901507,0,0.491357912566409,0,0.888116055007523,-0.146689484285926,0.55014045568203,0.165748091157432,0.178005413412953,0,0,0,0.228854639170734,-0.380075586976127
"GER",0,0,0,0,-0.477128265276835,0.888116055007523,0,0.233911584049606,-0.439222622920384,-0.370686375385712,0,0,0,0,0,0.406932707908803
"IND",0,0,0.187891796330618,0,0.292793493055292,-0.146689484285926,0.233911584049606,0,-0.193281273287316,0,-0.223726068239178,0,0.411595851802546,0,0.155850850305219,0
"JPN",0.31190976487711,0,0,0,0,0.55014045568203,-0.439222622920384,-0.193281273287316,0,0.305719813204927,-0.392692116170903,0.591586100388836,0,0,0,0.25070600657117
"KOR",0,0,0.18702745913282,-0.249923164956003,-0.155455336362977,0.165748091157432,-0.370686375385712,0,0.305719813204927,0,0,-0.474542357424212,0.363561917656072,0.209493688197699,0,0.285657573446775
"MEX",0.179926321732946,0,-0.219157944591218,0.560698068637273,0,0.178005413412953,0,-0.223726068239178,-0.392692116170903,0,0,0.372135338693665,0.274586430743365,-0.183481806345525,0,0.350557874380239
"RUS",-0.202667001205706,0,0.430672243012393,-0.296982453790753,0.166028084858932,0,0,0,0.591586100388836,-0.474542357424212,0.372135338693665,0,0,0.240839457893604,0,-0.201968808908788
"SIN",0,0,0.205187810559275,-0.170288544678917,0,0,0,0.411595851802546,0,0.363561917656072,0.274586430743365,0,0,0,0,-0.190950412458034
"THA",0,-0.290399149090933,-0.259276337125091,0.271293567752576,0,0,0,0,0,0.209493688197699,-0.183481806345525,0.240839457893604,0,0,0,0
"UK",0,-0.293516831785036,-0.153474147931391,0,0,0.228854639170734,0,0.155850850305219,0,0,0,0,0,0,0,0
"US",0,-0.22201445128432,0.192379032548248,0,0.580721849588376,-0.380075586976127,0.406932707908803,0,0.25070600657117,0.285657573446775,0.350557874380239,-0.201968808908788,-0.190950412458034,0,0,0
