"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0.318620078814255,0.356128021831447,0,-0.253692552895963,0,0,0.643226478605738,-0.32380085513852,0.280447886748456,0.533323331850908,0,0.255389888554789,0,0,0.235999488178345
"AUS",0.318620078814255,0,0,0,0,0,0,-0.264448629348487,0,-0.479162121161329,0,0,-0.363415448787025,0,0,0
"BRA",0.356128021831447,0,0,0.245570237546962,0,0,-0.212150471219772,0,0.202776068115248,-0.239414356294756,0,0.299496536395894,0,-0.339193853538196,0,0
"CAN",0,0,0.245570237546962,0,0,0,0,0,0,0,0,-0.525373623391975,0,0.492921679094852,0,0.281565729326145
"CHN",-0.253692552895963,0,0,0,0,0,0,0,-0.28849120450825,0,0,0,0,0.352071508525583,0.245375620194013,0
"FRA",0,0,0,0,0,0,0.971035629933121,-0.249529509114624,0,0,0,0,0,0,0,0
"GER",0,0,-0.212150471219772,0,0,0.971035629933121,0,0.396696085819791,0,0,0,0,0,0,0.224155457090156,0
"IND",0.643226478605738,-0.264448629348487,0,0,0,-0.249529509114624,0.396696085819792,0,0,0,-0.254212404924202,0,-0.578536215199675,0,0,-0.226458368852273
"JPN",-0.32380085513852,0,0.202776068115248,0,-0.28849120450825,0,0,0,0,0,0.36744682539408,0,0,0,0.323169753307453,0
"KOR",0.280447886748456,-0.479162121161329,-0.239414356294756,0,0,0,0,0,0,0,0,0,0,-0.258289318971826,0.560962964495897,0
"MEX",0.533323331850908,0,0,0,0,0,0,-0.254212404924202,0.36744682539408,0,0,0,0.369871172117485,0.41766841689842,0,0
"RUS",0,0,0.299496536395895,-0.525373623391975,0,0,0,0,0,0,0,0,0,0.214184929966443,0,0.443261623419132
"SIN",0.255389888554789,-0.363415448787025,0,0,0,0,0,-0.578536215199675,0,0,0.369871172117485,0,0,0,0,0
"THA",0,0,-0.339193853538196,0.492921679094852,0.352071508525583,0,0,0,0,-0.258289318971826,0.41766841689842,0.214184929966443,0,0,0,0
"UK",0,0,0,0,0.245375620194013,0,0.224155457090156,0,0.323169753307453,0.560962964495897,0,0,0,0,0,0
"US",0.235999488178345,0,0,0.281565729326145,0,0,0,-0.226458368852273,0,0,0,0.443261623419132,0,0,0,0
