"","ARG","AUS","BRA","CAN","CHN","FRA","GER","IND","JPN","KOR","MEX","RUS","SIN","THA","UK","US"
"ARG",0,0.207176286480502,-0.157512478393555,0,0.223469917086847,0,0,0.261322753291162,-0.162127736608603,-0.403630126107512,0,0,0,0,0,0
"AUS",0.207176286480502,0,0,0.415768208239235,-0.221962879995599,0,0,0,0.153803001700559,0,-0.184345529154469,0,0,0,0.284096581090945,-0.39475184545042
"BRA",-0.157512478393555,0,0,-0.21348494397221,0.341237448698933,0,0,0,0,0.190583880475514,0,0,0,-0.168519322341108,-0.148058644926004,0.542144735953451
"CAN",0,0.415768208239235,-0.21348494397221,0,0,0,0,-0.179562509730004,0.466025730085871,0.353143059902355,0,0.315640395491024,0,0,0,0.241280105884272
"CHN",0.223469917086847,-0.221962879995599,0.341237448698933,0,0,-0.155875586960523,0.228904371836051,-0.340473042682503,0.434375993127695,0,-0.174367451071065,-0.244558608814509,0,0.206985374269523,0.228218633702254,-0.53187558124667
"FRA",0,0,0,0,-0.155875586960523,0,0.759382282727131,-0.20737363741472,0.422712246808142,0,0,0,0,0,-0.268309138457789,0
"GER",0,0,0,0,0.228904371836051,0.759382282727131,0,0.317014257668877,-0.436096128651283,0,0,0,-0.202541877976262,0,0,0.192213506721491
"IND",0.261322753291162,0,0,-0.179562509730004,-0.340473042682503,-0.20737363741472,0.317014257668877,0,0.33374316106466,0.46452784119834,0,0,0,0.556780113239848,0.305538364318986,-0.437023817207797
"JPN",-0.162127736608603,0.153803001700559,0,0.466025730085871,0.434375993127695,0.422712246808142,-0.436096128651283,0.33374316106466,0,0,0,0,0,-0.255195157999264,-0.209769810897158,0.405554107605427
"KOR",-0.403630126107512,0,0.190583880475514,0.353143059902355,0,0,0,0.46452784119834,0,0,0,-0.243723536947389,0,0,0.228362656720399,-0.263956401576995
"MEX",0,-0.184345529154469,0,0,-0.174367451071065,0,0,0,0,0,0,0,0,0,0.149484001954476,-0.185249888179292
"RUS",0,0,0,0.315640395491024,-0.244558608814509,0,0,0,0,-0.243723536947389,0,0,0,0.334337307964871,0,-0.207033487459628
"SIN",0,0,0,0,0,0,-0.202541877976262,0,0,0,0,0,0,0.152067795774626,0.442022209871575,0
"THA",0,0,-0.168519322341108,0,0.206985374269523,0,0,0.556780113239848,-0.255195157999264,0,0,0.334337307964871,0.152067795774626,0,-0.30284709339886,0.435026834460064
"UK",0,0.284096581090945,-0.148058644926004,0,0.228218633702254,-0.268309138457789,0,0.305538364318986,-0.209769810897158,0.228362656720399,0.149484001954476,0,0.442022209871575,-0.30284709339886,0,0.612540656371605
"US",0,-0.39475184545042,0.542144735953451,0.241280105884272,-0.53187558124667,0,0.192213506721491,-0.437023817207797,0.405554107605427,-0.263956401576995,-0.185249888179292,-0.207033487459628,0,0.435026834460064,0.612540656371605,0
