"","date","sg","sf","sb","gs","gf","gb","fs","fg","fb","bs","bg","bf"
"1","2013-01-03",0.000732918630526385,0.00195481786713785,0.000207944018476936,0.000643628192470311,0.0208960187314197,0.000440974230443554,0.000229180945432626,0.00278969329222377,0.000152362890704342,0.002394550891416,0.00578244555885884,0.0149652727350745
"2","2013-01-04",0.000317097354342837,0.00135166807468528,0.000143829311207934,0.000306138762264397,0.0155252985200041,0.000332528349030577,6.33803818367176e-05,0.000754048102050035,4.21639743989636e-05,0.00123211381635562,0.00295057324225705,0.00770300487744028
"3","2013-01-07",0.000188843037879149,0.0012911116187357,0.00013732181952491,0.000166270260975132,0.0134221664784444,0.000284278562205694,3.94846028028635e-05,0.000466200790033296,2.62551985154486e-05,0.00259422835434394,0.00609956919703629,0.0162188469160644
"4","2013-01-08",0.000205457171997701,0.00149044304131295,0.000158381850998641,0.000139799750795997,0.0119574818086931,0.000254753748523748,4.37515776114758e-05,0.000515861327591473,2.90331291150997e-05,0.000313070778555182,0.000740069678200191,0.00195502641934945
"5","2013-01-09",0.000310288619728357,0.00124393353375967,0.000132328175533096,0.000264501067423015,0.0124044684454955,0.000255440392446417,3.82646084726176e-05,0.000447627413361844,2.53427610941307e-05,0.00351315064217754,0.00795559084017338,0.0218724926360163
"6","2013-01-10",0.000179769151792763,0.000926473857480769,9.93272169746544e-05,0.000172991735186904,0.010506444250094,0.000220621977820094,3.89491573181524e-05,0.000458997660038832,2.53723810967568e-05,0.000629769778375718,0.00145362417316211,0.0038265718973461
"7","2013-01-11",0.000574558542288109,0.000977156218028682,0.000105205628988432,0.000399048242301081,0.00773648888156421,0.000200696051332396,9.19212889546568e-05,0.00104786393945694,6.00492338537605e-05,0.00235425297287567,0.00646638951979969,0.0142846470931017
"8","2013-01-14",0.000853350969069654,0.00137442027293712,0.000147807327022084,0.000335054659592623,0.00602241666872614,0.000152463533817599,3.99537699339146e-05,0.000445883124184851,2.6087226763844e-05,0.00165107713365372,0.00433759905090291,0.0100244626221263
"9","2013-01-15",0.00129498093633822,0.0023905142633749,0.0002562289934524,0.000211831005882762,0.00434209532406703,0.000111962887924474,2.78985659687663e-05,0.000309787393966043,1.82090898522206e-05,0.00134390735451827,0.00358995494990508,0.0081834938036563
"10","2013-01-16",0.00133517691724104,0.00310350140405281,0.000332065208963498,0.000140058652357437,0.00356909551943888,9.37301855598857e-05,2.39480715269361e-05,0.000262546143770513,1.56136853741924e-05,0.00293885996922831,0.00790794911718263,0.0179078043334934
"11","2013-01-17",0.00177748573155413,0.00440844840585338,0.000471795892952735,0.000109753285374722,0.00298600437232651,7.81122875943749e-05,2.29484078931531e-05,0.000251736292260552,1.49776959051169e-05,0.000194518075884376,0.000521571388531691,0.00118627128958508
"12","2013-01-18",0.0037940736103196,0.00699118207805015,0.000748900635716265,0.000140671907502304,0.0028232812670939,7.39522300066242e-05,2.68746159162668e-05,0.000292714459160719,1.75602293904725e-05,0.00310930846234282,0.00828112347475377,0.0189661045943342
"13","2013-01-22",0.00235985666652808,0.0050155048840791,0.000537732850564573,0.000130726321044577,0.0030258833370698,7.86939583636987e-05,2.47498374061986e-05,0.000269545731366526,1.61903980104686e-05,0.000857397799611999,0.00226506032680968,0.00523137230131069
"14","2013-01-23",0.00332770797769832,0.00473399820133343,0.000522104802287481,0.000221386616145755,0.00352814893345794,9.20326028594944e-05,2.28618446206126e-05,0.000256108466383145,1.54020146466352e-05,0.00300840783946284,0.00797103240004664,0.0183769475473187
"15","2013-01-24",0.00399431551794242,0.00575491257547072,0.000633859611581729,0.000209433692167031,0.00334884749229232,8.80359263112085e-05,2.69123744453672e-05,0.00029867885290846,1.81068559676679e-05,0.00135403826541127,0.00358668812002771,0.00827118278453422
"16","2013-01-25",0.00453077105559008,0.00828497380729773,0.000913139903508115,0.000155557715178028,0.00302891344293824,8.30985150522077e-05,8.17382675463504e-05,0.00087036559090571,5.50379166173526e-05,0.00201403181914979,0.00533829821112281,0.0123042940999804
"17","2013-01-28",0.00578522716706357,0.0145407009023129,0.00160567549615368,0.000126347605261974,0.00332457431896605,9.19901398844249e-05,4.44298954655711e-05,0.000465135404812925,2.99915331504079e-05,0.0023438634797367,0.0061485005158164,0.0143279233499257
"18","2013-01-29",0.00495181224435013,0.0131419780389726,0.0014516045290136,0.00013905208313424,0.00385372482385286,0.000106713603409458,3.56513208189516e-05,0.000372290760214383,2.40255466927672e-05,0.000739089989260409,0.00193488634814237,0.00450928200977141
