,stock,gold,exchange,rate
2013-01-03,-0.0028760475099876004,0.0024826112945408596,-0.0064626721796788855,0.0
2013-01-04,0.002566182286022567,-0.015068121781967037,-0.004817075491997391,1.0
2013-01-08,-0.004774293525574791,0.009035418247250071,-0.0023693976766882008,0.0
2013-01-09,0.003196619290196878,0.0028206763107503363,0.0007649354002605135,0.0
2013-01-10,-0.0015555187095994683,-0.0026392203231910827,0.010799405284456054,0.0
2013-01-11,0.0009154564954698685,-0.020441972083478532,0.010010244278286617,3.0
2013-01-14,0.001811584141984568,0.0038813778984323477,0.0011975152991585691,1.5
2013-01-15,-0.006959911720372247,0.009713502371395677,-0.0020216397136617603,-0.2
2013-01-16,0.001980863585533399,0.0013335134493983603,-0.0027770498576711877,-0.25
2013-01-17,0.005747235393030792,-0.0053607063872611604,0.003825817651755492,1.3333000000000002
2013-01-18,-0.004305054878329884,0.013017705587891726,-0.003976148379639333,0.2857
2013-01-22,-0.006817735877859832,0.003913837677731458,7.516818885788812e-05,0.0
2013-01-23,0.0014710706215339542,0.0002671884716214379,0.0003006162656036815,-0.125
2013-01-24,0.00525245341253644,-0.018429462337704372,0.005246208539986086,-0.1429
2013-01-25,0.0140767794361647,-0.014129640437375635,0.005813536534375829,0.5
2013-01-28,-0.0031827249785436607,-0.0010720813209577074,0.00022292402098650355,0.6667000000000001
2013-01-29,0.001985771209950471,0.0029535646790774805,0.0018557701202356336,-0.0667
2013-01-30,-0.004758666134401679,0.0016191320134151255,0.005915426891577924,0.07139999999999999
2013-01-31,-0.004524186282033327,-0.00795891575057528,0.0014734053055993068,-0.0667
2013-02-01,0.007346869319773575,-0.006404851283555502,0.00791909109894734,0.07139999999999999
2013-02-04,-0.025229465553522346,0.008294733646982522,-0.01212403256088207,-0.2
2013-02-05,0.0034542529260725985,0.00670786894915576,0.003100091056758958,-0.0833
2013-02-06,-0.010951293509199544,-0.00025871966252033474,-0.0030261675675365973,0.0
2013-02-07,0.0012747142352598217,0.00729121641350261,-0.01085109123565392,0.0
2013-02-08,0.008041772683997195,0.0008264695378814579,-0.0011963512717468316,-0.2727
2013-02-11,-0.00240745169881329,-0.009679509798989017,0.00358476858866702,0.125
2013-02-12,0.0034588920402409684,-0.009095557262480902,0.00268016837030266,-0.11109999999999999
2013-02-13,0.006726506098615914,0.0005637554431201508,-0.00014870994153359796,0.125
2013-02-14,-0.010519497282936996,0.007697290263989132,-0.008513231910446284,-0.22219999999999998
2013-02-15,-0.004949861335001415,-0.02139044515779176,0.002097693307417381,-0.1429
2013-02-19,0.016087539227607195,-0.002273690081576518,0.0018692293004750615,0.0
2013-02-20,-0.003042372682610761,-0.013052952454641442,-0.0027677019575021444,0.2
2013-02-21,-0.018982484723574444,0.0038222974412551736,-0.010996570855311916,0.0
2013-02-22,0.010277234896049592,0.004275387929184582,-0.0028820649452616642,-0.16670000000000001
2013-02-25,0.014419333606992879,0.0021850093758386535,0.0004556154684328684,-0.4
2013-02-26,-0.022912721720095064,0.013438237492966465,-0.0089987643010922,-0.6667000000000001
2013-02-27,0.01030851913264641,0.005859687887270759,0.0038229268976879838,-1.0
2013-03-01,-0.004341793736513111,0.002933842764805128,-0.006982036266415914,0.0
2013-03-04,-0.002140282793975601,-0.00703259784837762,0.0006157635662544791,-2.0
2013-03-05,0.022958226545394922,0.002179297544043557,0.001768211108406137,0.6667000000000001
2013-03-06,0.0062091545458109465,-0.0016092498180917403,-0.002229998232751995,0.0
2013-03-07,0.0025777012967793667,-0.0028369282625133607,0.008279716113353819,0.0
2013-03-08,0.005864552316920069,0.009176380756054314,-0.008125763376539863,2.0
2013-03-11,-0.00027299890719589825,-0.004285021751519125,0.0016919176534702096,0.0
2013-03-12,-0.002278312326717824,0.00896028050801867,0.0006913239127739335,0.0
2013-03-13,0.0006011157843381909,0.0025209583197467467,-0.005698459898863251,1.0
2013-03-14,0.010912638363592464,-0.004442455552420732,0.0019287897041607716,-0.5
2013-03-15,-0.0019278048255451097,-0.000589453708111698,0.007831134071100532,0.0
2013-03-18,-0.004005349967004079,0.013454139075536276,-0.009219487552881322,-2.0
2013-03-19,-0.007884245424273573,0.009889130277863423,-0.005262355434409727,0.0
2013-03-20,0.0067938587660894,-0.006936276936624353,0.004799142270873469,0.0
2013-03-21,-0.008718256254240941,0.0057755571601267874,-0.0017002863668071355,0.0
2013-03-22,-0.0026710678560259993,-0.009237569309296312,0.005246116028114423,0.0
2013-03-25,-0.0051260230413721075,0.0035425689578740815,-0.008888260392903136,0.0
2013-03-26,0.0011136106066409468,0.001046648405613304,-0.0017871716944558025,0.0
2013-03-27,-0.01156198819252019,0.00921141351313004,-0.005928254491404994,-2.0
2013-03-28,0.0007982341739527499,-0.007651526409232723,0.004683118143766596,0.0
2013-04-02,0.0188782912553922,-0.008613679255092599,-0.0016346868545013271,1.0
2013-04-05,-0.020501954198572037,0.0008225153646801431,0.013369079766332448,1.0
2013-04-10,0.022413992585518017,-0.003532927874407399,-0.002447232790649012,0.0
2013-04-11,0.00777953020145894,-0.009541332280955217,0.0048884912505701705,0.0
2013-04-12,-0.016247379763360215,-0.01681507943428162,-0.0022885050799556494,-1.0
2013-04-18,-0.003912733779623423,-0.0018005181352434008,0.0017610356375372116,-2.0
2013-04-19,-0.0018441529056154593,0.008430665593824216,-0.0004591016990884156,1.0
2013-04-24,0.013079051399383701,0.015955883060740916,-0.0011534470116534856,3.0
2013-04-25,0.009470378742417296,0.014818296583698043,0.0005384408422074438,-1.0
2013-04-30,0.0050940079913370795,-0.005370437976777609,0.005941064012905506,0.0
2013-05-02,0.006047102535834625,0.019052472742869142,-0.009597148838739133,0.0
2013-05-03,0.01996833321244118,-0.003324379295440494,0.0035144050229699575,-1.0
2013-05-06,-0.0012578253848012366,0.004587061863013275,-0.003437873434519456,0.5
2013-05-07,0.008555422121201417,-0.01933619383778229,0.001376567975100107,0.0
2013-05-08,0.008268317359268806,0.009566776148743905,0.007006349581006044,1.0
2013-05-10,0.0019394074444214482,-0.01753236934720892,-0.011512022761296259,0.5
2013-05-13,8.455188712730433e-05,0.0021619273183901555,0.002004935896784077,0.0
2013-05-14,0.007199280119687401,0.0024017013769483953,-0.0009248555572530792,0.0
2013-05-15,0.0027913628434497184,-0.007687592382240815,-0.008673484251492558,1.0
2013-05-17,0.0033552295419276845,-0.001675661646395099,-0.0062218275061505235,-1.0
2013-05-20,0.006862562035728104,-0.01281434164916817,0.0036600126516723175,-0.5
2013-05-21,0.0019340708993116351,0.0031740794585521925,0.0034917591248436186,0.3333
2013-05-22,0.006903478495640769,0.03417427328929801,-0.0035694924219405455,0.0
2013-05-23,-0.021195057191281563,-0.022054280446027974,0.006199647879525372,0.0
2013-05-24,-0.005602363173023761,0.004829485976021175,-0.001855861961680083,0.5
2013-05-28,0.011571407154402635,-0.0034681792345416795,-0.003877476746420583,0.5
2013-05-29,-0.017159978555277178,-0.004286549812754004,0.005733338708100666,1.0
2013-05-31,-0.006132908033137596,-0.006272110687056021,-0.004149064730411101,-2.0
2013-06-03,-0.007579400791312807,0.00037167813102101377,0.00843369255526244,3.0
2013-06-04,0.001225443049644781,-0.0053561992005253245,-0.0017575368448752293,0.5
2013-06-05,-0.012100457246686958,0.0020993219904754667,0.0009937699094045294,0.0
2013-06-06,-0.01195105476285363,-0.01110627878564241,0.012150817782512646,-0.3333
2013-06-07,0.01906317493022236,-0.012022406849655276,-0.0004530011402494871,1.5
2013-06-10,0.006401279649354663,-1.9077416155255378e-05,-0.0006043209127867266,0.2
2013-06-11,-0.01031215751614134,-0.012564896709688078,0.003319254707100039,0.3333
2013-06-12,-0.009677615120393668,0.0015057336538548682,0.005707435138709305,0.0
2013-06-13,-0.005897055391665518,0.004398022689050762,-0.002999852257165203,-0.375
2013-06-14,0.0040152057075086844,0.001468112012903866,0.001201021012105452,0.0
2013-06-17,0.01074063981517881,-0.005249053092616585,0.0008248660060518609,0.0
2013-06-18,0.0016758652625465942,-0.01645331797270888,0.0049349584227550425,0.2
2013-06-19,-0.003948481350461108,0.003521371494542791,-0.00022378874436013163,0.0
2013-06-20,-0.03331665319238297,-0.04299571052905904,-0.014276296267370148,0.3333
2013-06-21,-0.017718045951390593,0.005043172425847509,-0.007672769058406803,0.125
2013-06-24,-0.01250396579223434,-0.0033728557977532603,-0.001679133351325135,0.3333
2013-06-25,0.015332074909400362,-0.0045183180631527264,-0.0008406251689092592,-0.16670000000000001
2013-06-26,0.016466549360206528,-0.028472338355631344,-0.00567355658209262,-0.2
2013-06-27,0.006246670082051153,-0.002875456866624937,0.0007685804697766807,-0.125
2013-06-28,-0.003953617601874626,-0.03326705638265803,-0.0004610773923228728,-0.1429
2013-07-01,0.00309851381366677,0.03885239968499565,0.003835831323871164,0.5
2013-07-02,-0.009204396744305399,0.007888165356708221,-0.003297928363961644,-0.22219999999999998
2013-07-03,-0.01034946140930515,0.0028058962977128843,-0.0009222965837085151,-0.2857
2013-07-05,-0.02383736986313245,-0.025515426326772506,-0.01346978098773366,-0.6667000000000001
2013-07-08,0.02060862031185451,0.016051911233770255,0.0024908551836971826,0.0
2013-07-09,0.011133072149334566,0.022378426621142644,-0.006943117957180889,0.0
2013-07-10,0.0010828425113054152,-0.005176676746503794,0.0056206236962031975,0.0
2013-07-11,0.011379895607358748,0.00865356203511336,0.015449094538303565,0.5
2013-07-12,0.006593160644353446,-0.005046456323054116,0.00015329194480845354,0.0
2013-07-15,0.0026800311282251243,0.004356107974300194,-0.0006899988773774735,0.3333
2013-07-16,-0.004108096257704474,-0.001636403733514591,0.008020514293631709,-0.25
2013-07-17,0.006522963106615265,0.007802169458896557,-0.0038112707160674053,0.0
2013-07-18,0.009929076660531777,-0.010695289116747553,-0.0012226808798153077,-0.3333
2013-07-19,-0.0006623208106457668,0.006031436583040062,0.004881779336591896,0.0
2013-07-22,-6.121482624976693e-05,0.019730050888352224,0.0038731774259633256,1.0
2013-07-23,-0.0020221943547031884,0.002988173631358393,0.0014391216269036833,0.25
2013-07-24,0.007773198974518891,-0.0002280173897917237,0.0012102875910031674,0.4
2013-07-25,-0.009609087918718728,-0.006695110139676608,0.00045348047032134353,-0.2857
2013-07-26,-0.006536575439001879,0.0015758401090764096,0.0026412119644317333,0.0
2013-07-29,0.0017111069775026522,-0.00010962999886388047,-0.0005276846076234798,0.2
2013-07-30,0.0014506915711383073,-0.004034760292313422,0.0003015681566883588,-0.16670000000000001
2013-07-31,0.0005982961430035516,-0.009380582854945807,0.001205364015157695,0.2
2013-08-01,0.016152136707562548,0.00377084998455679,-0.004905855342852206,-0.3333
2013-08-02,-0.0004507164267302244,-0.008113819237538955,0.003851241309136222,0.75
2013-08-05,-0.0010187251108941808,-0.00020293031442708553,-0.0008294062680933023,-0.1429
2013-08-06,-0.011815845954124882,-0.02400053585204187,0.0029375232963796405,0.16670000000000001
2013-08-07,-0.004740286928324622,0.0008519481034774401,0.002478874508788753,-0.1429
2013-08-08,0.006977614142353872,0.007222713518338253,0.004715401125238383,0.16670000000000001
2013-08-09,0.002400246580151588,0.010788188515267194,-0.004040409537004852,0.1429
2013-08-12,0.0025081522063690187,0.028506281273666723,-0.001951220131261866,-0.125
2013-08-13,0.00673742832496238,-0.005068535313967004,-0.004894772376728251,0.0
2013-08-14,0.0026533965020316685,-0.0037633245483457145,0.0006791684221372218,0.2857
2013-08-15,-0.007354439280002012,0.0035739994916053064,0.0005279233879541545,-0.11109999999999999
2013-08-16,0.0018666257015915733,0.023138988353371914,0.004363533857109914,0.125
