,stock,gold,exchange,rate
2013-01-03,0.0025603486413334764,-0.0056046795245432435,0.0042322263926442005,-0.0034999999999999996
2013-01-04,0.0009760079826364176,-0.009087882521319202,0.00859316010891531,-0.0027
2013-01-07,-0.004694566005616352,0.0008668534331910394,0.004903305928521284,0.0085
2013-01-08,0.0025916775550367532,0.003159073440427207,-0.0032661977866217384,0.0024
2013-01-09,-0.003853428507087031,-0.0028555167768811174,-0.004189059946104301,0.0004
2013-01-10,-0.00015458882201180302,0.0068821195368578,-0.0054904969553168925,-0.0016
2013-01-11,4.5769860506084115e-06,-0.0082186788872054,0.005855460463018325,0.015700000000000002
2013-01-14,0.012270545327778493,-0.0006719252596099068,-0.005671957388826865,0.0004
2013-01-15,0.004031265901302206,0.01097898476621495,0.0014668136109938779,-0.0029
2013-01-16,-0.008501110751677032,0.0005764763704370068,0.001464665219729433,0.005600000000000001
2013-01-17,0.007360208744733754,-0.0095484061066049,-0.005687566932703447,-0.002
2013-01-18,0.003750216566501763,-0.0007604962568610318,-0.009799468268458789,0.006999999999999999
2013-01-22,-0.0028720221657536626,0.0008475219344621365,-0.0018597736437229173,-0.0086
2013-01-23,0.002251540511329253,-0.002566323420648331,-0.0011175266575587095,0.0023
2013-01-24,-0.005147896032552168,-0.011268096354575263,0.000186341191259487,0.0018
2013-01-25,0.008981428345229858,-0.006604592257101416,0.0020474646519810236,-0.015700000000000002
2013-01-28,-8.953691507329609e-06,0.0017927752637643124,0.0035266857898328396,0.0126
2013-01-29,-0.005609297834269,0.0012442192619346315,-0.006133278217073546,-0.0054
2013-01-30,0.000705072299115983,0.0018470752740018526,-0.008048709805200005,-0.001
2013-01-31,-0.0055148037085199775,-0.011476330623846565,0.002065146702230347,-0.001
2013-02-01,-0.005735952436184633,0.002549711479522543,-0.003005261465463427,0.0015
2013-02-04,-0.0015177434679554125,-0.0005778129243587671,0.0015037596818663346,-0.001
2013-02-05,-0.004636783665413091,0.0020478818151961065,-0.004706777022240427,-0.0022
2013-02-06,-0.0010229128255758724,0.002422469802972671,0.001508580335133125,0.0036
2013-02-07,-0.003029066029379024,-0.0027074222514222868,0.0028224687097395673,-0.002
2013-02-08,-0.004891845406922002,0.005017580100956209,0.006741598566919471,-0.0054
2013-02-11,-0.0012427675873265542,-0.005781265970664862,0.0068818275876809665,0.0013
2013-02-12,0.005149465745441617,0.0004294692034996217,-0.0037140246963716095,-0.001
2013-02-13,0.0024018932574865204,-0.0042108953547579375,0.0007439092773791067,0.0026
2013-02-14,-0.005671886457577102,0.002650753473281142,0.002784741426432813,-0.0034000000000000002
2013-02-15,-0.0014900428340318683,-0.0156276460847522,0.006283517255084359,-0.0031
2013-02-19,0.008570559677572476,-0.0018642804367932087,-0.00036852773588291754,0.006999999999999999
2013-02-20,0.0003579569201690447,-0.015552360557681055,-0.001475470573836457,-0.008
2013-02-21,-0.01629009047173291,0.00028629182572892375,0.005338254738634252,0.0001
2013-02-22,-0.0004321681164984881,-0.005745095692532232,-0.003494256428914877,0.0004
2013-02-25,0.0007596633628548233,0.0004295342977105321,-0.005912803627113217,0.0003
2013-02-26,-0.01651021430402011,0.00758112377317488,0.003330252846600157,0.0013
2013-02-27,0.007193052310771719,0.003470318026467467,-0.007787912531118657,0.0003
2013-02-28,-0.015303628105773015,-0.00012287734322669053,0.01202715950279254,0.0028000000000000004
2013-03-01,0.003016408296003803,0.005206024576505541,0.009700817357655378,0.0005
2013-03-04,-0.0021462324306043,-0.005615377527384169,0.00036423238428540117,0.0003
2013-03-05,0.013950890013646244,0.0029405608736023936,-0.0009108298288857952,0.0025
2013-03-06,0.005700641913012561,-0.00483210129528544,-0.000729261654926816,-0.0034000000000000002
2013-03-07,0.008324124809410804,-0.0009945363981280764,-0.006954640036987758,0.0001
2013-03-08,0.013796243405113984,-0.0026187638454331363,-0.0023903661285289424,-0.0006
2013-03-11,-0.0018825597787994752,7.4493921466967095e-06,0.0011039559538841281,-0.0048
2013-03-12,-0.004146277674673016,0.0077994851477232174,-0.0035000496263020153,0.0051
2013-03-13,-0.010397378668873358,-0.0027082561068212385,0.0020278373618669576,0.004
2013-03-14,0.010679476497363893,-0.002507196760220154,-0.0014743828693704053,-0.0072
2013-03-15,-0.007327588046083022,0.0010806173670090402,-0.002955303222217598,-0.0033
2013-03-18,-0.006939974280843586,0.008113463746884264,0.0007396450041339264,-0.0023
2013-03-19,-0.014887498112102548,0.008222055458409372,0.00552996800946115,0.0027
2013-03-20,-0.006540140048068466,-0.0036750144432460274,-0.001471670611456144,0.0014000000000000002
2013-03-21,-0.0048475214798209265,0.0033281161271876414,-0.0009208951751271677,0.0054
2013-03-22,-0.003052085227928103,-0.0029886469861093445,0.0005526388645762381,0.0005
2013-03-25,-0.002896010311177477,-0.008111375165077206,-0.0014743828693704053,0.0015
2013-03-26,0.001236293470862293,0.0028563450323026984,0.003681889284580908,0.0017000000000000001
2013-03-27,0.0,0.0031240270012116156,0.0005511160238693691,0.0
2013-03-28,0.0069919811332965764,-0.003519390628385466,-0.00018367159570420455,-0.008199999999999999
2013-04-02,0.009296821802095678,-0.010468363671602532,0.00275963747944008,-0.0231
2013-04-03,-0.012647823002701841,-0.0027815431554678582,0.000551014799504923,-0.0026
2013-04-04,-0.015649181075154672,-0.010598713210805855,0.008228994045167415,-0.0038
2013-04-05,-0.003218082465139105,0.013624409104274093,-0.00291811259417063,0.0045000000000000005
2013-04-08,-0.0006750161080919526,-0.0006650170239765885,-0.003109853416417785,0.0001
2013-04-09,-0.011526338694743288,0.002801338766058592,-0.0020174238846091264,-0.0026
2013-04-10,0.010260200764056648,-0.0030074721245956226,-0.0011021308977494648,0.0004
2013-04-11,0.00691353295484376,-0.0063694780377510085,-0.0009193712148909405,-0.0014000000000000002
2013-04-12,-0.016291889774445067,-0.018548690333066276,0.004771526762616052,-0.0008
2013-04-15,0.006297226629493835,-0.09495402877839965,-0.0025664542043020155,-0.0053
2013-04-16,0.020868763547138514,-0.018160712057570194,-0.007369230106548219,-0.0042
2013-04-17,-0.0007348685852601733,0.007458502984878379,0.0014781968693107217,-0.0013
2013-04-18,0.015116472654487012,-0.00031401375165884815,-0.0038849368998756795,-0.0055000000000000005
2013-04-19,0.0,0.008395138829964566,0.0005559158857146862,0.0085
2013-04-22,0.008032769074304724,0.01545990963183641,0.0038827819881643855,-0.0084
2013-04-23,0.0004970118115235067,-0.008127485782548405,0.0036839238568466826,-0.0028000000000000004
2013-04-24,0.0,0.014454648470652032,-0.0031304693643501302,0.005699999999999999
2013-04-25,0.011791395723397713,0.012196986493377082,-0.0020308324158753166,-0.01
2013-04-26,-0.006209320358603776,0.017805261273689865,0.005528948843189774,-0.0029
2013-04-29,0.005211752331060637,-0.00520691603224499,-0.003867052052233255,0.0029
2013-04-30,0.0060002730697998885,-0.006098945571709535,-0.009640415782174117,-0.0013
2013-05-01,0.0,-0.009747847967277679,-0.0005590235867187765,0.0176
2013-05-02,0.011803923756128043,0.009546544905218113,0.0026061072084435644,-0.0217
2013-05-03,-0.008146789222450934,0.001947765985242711,0.00018589088258735842,-0.0015
2013-05-06,0.004993732555350405,0.004899010300100315,0.0061150936411480394,0.0015
2013-05-07,0.010884632464028599,-0.01956237019085627,-0.001294019960584869,0.0
2013-05-08,0.00507685184850537,0.01691144129773825,0.0003698908864069317,-0.006
2013-05-09,-0.002561534032606616,0.00018762598507571226,0.004796172263493048,-0.0152
2013-05-10,0.007175145458239385,-0.01861737069749836,0.010981076668926448,-0.0016
2013-05-13,-0.019659060718460353,0.00507541276489043,-0.0016394939458885815,-0.0001
2013-05-14,0.0015537645118737231,0.0018209270910087838,-0.006401485052041078,-0.0048
2013-05-15,0.024574514645383516,-0.014971089689897354,0.005124462165734034,-0.0032
2013-05-16,0.0016989501690289899,-0.0221494516698737,-0.0018271519791834834,-0.0033
2013-05-17,0.0019139753384731506,-0.007633271002124076,0.00892131542859076,0.0014000000000000002
2013-05-20,-0.003067879306042798,-0.0060985615052633335,-0.0027225717879115763,0.0015
2013-05-21,-0.00557176878814758,0.00768018515200275,0.007243783938403858,-0.0033
2013-05-22,-0.0024578189470592093,0.039473856629678394,0.0036023093709864895,0.0096
