,stock,gold,exchange,rate
2013-01-03,0.007176520793601426,-0.010071610032722056,0.0015551466199516806,0.0034
2013-01-04,0.00013023215450402859,-0.006037769034028528,0.00562738507424182,0.0103
2013-01-07,-0.0021603241437428977,-0.001036177486279044,0.0008941999539047729,0.0034
2013-01-08,-0.003966517129624592,0.007735489114698346,-0.0014636528877392807,-0.0405
2013-01-09,0.0046343569412350405,-0.0038578060341434295,-0.0006512006742132315,0.0035
2013-01-10,0.0018117914074959884,0.007925237039707156,-0.0010591063762420139,0.0035
2013-01-11,-0.0030266601817672267,-0.008058021857187292,-0.0021215838231269657,0.0105
2013-01-14,-0.0030857446691356927,0.004886650453022057,0.0015508308213718625,-0.0414
2013-01-15,-0.0032861371576355936,0.008310168869011036,-0.0013058028461189197,0.0036
2013-01-16,0.003881608166285133,-0.0007186210554452899,0.0002449679512517289,0.0466
2013-01-17,-0.004185151964197331,0.0031619506271560738,0.0,-0.0411
2013-01-18,0.005032540997602197,0.0022876277420778024,0.0002449079566508583,0.0107
2013-01-21,0.003140286201098519,0.0027401903437729302,0.003015610093282689,0.0035
2013-01-22,-0.00045333309269501854,0.001954065654603987,-0.0005698237770692394,0.0035
2013-01-23,0.0035249893500797214,-0.005438490630938375,-0.00032575942954415904,0.0035
2013-01-24,0.005296619282443515,-0.008247719662512587,-0.0006518373896569896,0.0035
2013-01-25,0.006419464486517867,-0.0012291365401093657,0.0034174158564321266,0.0105
2013-01-28,0.0014060357921099609,-0.00018547714047389974,0.003405776889198714,-0.0414
2013-01-29,-0.004334483939947731,0.002647109835861805,0.0018601647160882973,0.0036
2013-01-30,0.007990081694229545,0.008459692626220594,-0.0021840251350795925,0.0538
2013-01-31,-0.0009865176729046965,-0.007783196461073061,0.003233893997916293,-0.0442
2013-02-01,0.0025799399749413254,0.0061936820877122045,0.002096436826528242,0.0107
2013-02-04,0.0018911717085696722,0.002308555232830578,-0.0021771568491736892,0.0035
2013-02-05,-0.007522071135364072,-0.0023617437644283257,-0.0009691488401912529,0.007
2013-02-06,0.0011818256762854418,0.004472445512790912,-0.00032325844794175995,0.0035
2013-02-07,-0.004514942744499706,-0.002347107798564174,0.0010502081184995682,0.0035
2013-02-08,0.0026117309975841607,-0.0033639796244946396,0.0,0.0138
2013-02-13,0.009355846517491884,-0.016602813892233392,-0.0005653596241530501,-0.0377
2013-02-14,-0.00320715862075005,-0.005246350577732706,-0.002183671861292369,0.0569
2013-02-15,-0.0022514514632607785,-0.017239482846172827,-0.00024292481596463467,-0.037
2013-02-18,0.001543095109129311,0.004435554946734754,0.004202365971078398,0.0379
2013-02-19,0.0023177726960845746,-0.0059066917153902665,-0.0008874904773894521,-0.0432
2013-02-20,0.003972957656442233,-0.023605047503118648,-0.0016964902885356625,0.0035
2013-02-21,-0.0064549704232153005,0.01094584778894081,0.0025839807659251146,0.0035
2013-02-22,0.00016119883302678772,-0.004652230479350372,-0.0018565610531058874,0.0138
2013-02-25,0.00019157991145490882,0.011105868786524198,0.001614596298124521,-0.0986
2013-02-27,0.002105787393816172,-0.01502083938153742,-0.0010498688628367003,0.0113
2013-02-28,0.0027039996141908773,-0.009834966356782715,-0.001050972245975057,0.0037
2013-03-01,-0.000137626253188472,0.0013159075643436324,0.000646882855904668,0.0112
2013-03-04,-0.009079170432798378,0.0007825787133919349,0.005320876790909368,0.0037
2013-03-05,0.0025615707703483537,0.004168532893151777,0.0004019454212240148,0.0037
2013-03-06,0.013318097118103722,0.004622676578272866,0.0,0.0036
2013-03-07,0.0020423808566807367,-0.0058148268692477245,0.003530170546724304,0.0073
2013-03-08,-0.0027352489021588156,0.003785512740302366,-0.001442654734461729,0.0108
2013-03-11,0.0010451956895298764,0.00250054021217494,0.001682894975857413,0.0036
2013-03-12,0.0030473083728441708,0.006236716735856795,-0.0010414581353911379,0.0036
2013-03-13,-0.0043995859507557356,-0.0016072192275213837,-0.00040084980694671257,0.0071
2013-03-14,-0.0027466437893348683,0.0006048997059133754,0.0014423079423378504,0.0035
2013-03-15,0.0019952638158287073,0.0013848499651256674,-0.0004004324724150299,-0.0421
2013-03-18,-0.009042448950138393,0.008882757183480194,0.0020005608240712403,-0.0249
2013-03-19,0.0038801078470243056,0.006711000863570682,-0.0011198209456884656,0.0036
2013-03-21,0.005908504692907712,0.004112513680945895,-0.0012784660151259064,0.0109
2013-03-22,-0.00278262328234824,-0.004794599495859586,-0.0010399584953912633,0.0108
2013-03-25,0.0027305967733006753,-0.005844143286068082,-0.003286971332366745,0.0036
2013-03-26,0.006421610807997524,-0.005656799960851444,-0.003378381591627233,0.0071
2013-03-27,0.007422522095730244,0.005140676089689933,0.0016101766621942348,-0.0563
2013-03-28,-0.001489172063100952,-0.007521461460712864,0.0004021393869289569,0.0187
2013-04-01,-0.00015720228338444997,0.0019322995071870963,-0.0015289907618023513,-0.0586
2013-04-02,0.0030218115511182475,-0.015354091450525686,-0.0042774771648352305,-0.0623
2013-04-04,-0.004214457552304651,0.0005341617288641132,-0.0011302172834657398,0.0124
2013-04-05,-0.002427516258109108,0.01629154467527627,0.001775482671236145,0.0123
2013-04-08,-0.00460787615601177,-0.002891267939060249,0.0008865606061246312,0.004
2013-04-09,0.0036346105611322344,0.004863358662465345,-0.0005640839828850996,0.0081
2013-04-10,-0.001007614860768058,-0.018268820063480185,-0.0025019180961716736,-0.068
2013-04-11,0.004710666764118798,0.0016836023734549954,0.0004039588016959972,0.0043
2013-04-12,-0.004425275168483012,-0.04000797541139356,-0.000565588024611291,0.0171
2013-04-15,-0.0029854580010724163,-0.10575925048828516,-8.082440901549526e-05,0.0798
2013-04-16,0.0021928399361712536,0.010584819776751075,0.000404056735062025,0.0039
2013-04-17,-3.645732063439766e-05,0.0076731851732292355,-0.00323703446855772,0.0078
2013-04-18,0.0014906276905009008,0.010004354270470195,0.0016198270327258402,-0.0692
2013-04-19,-0.0007040522746137867,0.009184503747009742,-8.092906571810499e-05,0.0165
2013-04-22,0.004504041405066772,0.0201964777388568,0.001698136501549985,0.0041
2013-04-23,-0.007453088902932947,-0.0073928366094762055,0.0024209179028491234,0.0081
2013-04-24,0.01161195176957186,0.01255180306717918,0.00048348107307641386,0.004
2013-04-25,0.004504228069725613,0.02142567543785301,-0.0015318259938950363,0.004
2013-04-26,0.003338032405947544,-0.007980235555623771,-0.0016958053080770308,0.0
2013-04-29,0.003889263842239643,0.00928944587085212,-0.0021035606462322387,0.0
2013-04-30,0.0018602997891079553,-0.00023641116960515518,-0.0004050386867314182,0.0
2013-05-02,0.010105586718642812,-0.0034259812969459347,-0.0003241491114281958,0.0
2013-05-03,-0.009595055517660711,-0.0017560915471390715,0.0006481931842571842,0.008
2013-05-06,0.0036699245447966433,-8.843834471328194e-05,-0.0034077112084159866,0.004
2013-05-07,0.0002571891019211847,-0.010826237400357819,0.0001625355550103902,0.0039
2013-05-08,0.008787345874447183,0.010826237400357819,0.0007310832542027912,-0.0392
2013-05-09,0.0057728986757936696,-0.006989195242513624,-0.0026832556652938433,0.0449
2013-05-10,0.003196372994272778,-0.008772059637729868,0.006006999149127862,0.0078
2013-05-13,-0.004309793320498301,-0.0027553648607314685,0.004521971529798524,0.0465
2013-05-14,0.0011075941275588974,-0.001916357254266643,-0.0016933439517778925,-0.037
2013-05-15,0.002551537615659072,-0.02085920784787021,0.0025791905971839224,-0.0385
2013-05-16,0.0031187423829113214,0.00020160303279226355,0.003375123743981301,0.004
2013-05-17,-0.0008635704245101294,-0.011399435312858586,0.00639746284286441,0.008
2013-05-20,0.0014282550631534718,0.018218426263159948,-7.971621033356358e-05,0.004
2013-05-21,-0.0029950168297165902,-0.00823106644566618,7.971621033356358e-05,0.0039
2013-05-22,0.0030355460252167177,0.00047283505857276253,0.0037395118566619368,0.0
2013-05-23,-0.017875508463978562,0.013200623493702324,0.00664875015362687,0.0118
2013-05-27,-0.0005512589921838895,0.0008473492410265848,-0.002132281163269689,-0.0038
2013-05-28,0.0043487412187381835,-0.0021396590400470927,-0.0009491418888609437,0.0039
2013-05-29,-0.011400349350346062,0.005051563284925287,0.004500422107734686,0.0423
2013-05-31,-0.007413481055840165,-0.00824960000562669,-0.00364039654963505,0.0148
2013-06-03,-0.006146222651581823,0.002039083119432128,-0.0007931472497015035,-0.0364
2013-06-04,8.203657316485646e-05,-0.008318324308921099,-0.0066873905778294385,0.0
2013-06-05,-0.014666403146371465,0.00017685836828640333,-0.002319166140038853,-0.0377
2013-06-06,-0.015510786438117208,0.00383753047329094,0.001120268981689071,0.0039
2013-06-07,-0.0027562523034614372,-0.020368448730327948,-0.007062629678312504,0.0508
2013-06-10,0.004945799035114717,0.011440888280032091,0.01017677760167468,-0.0037
2013-06-11,-0.009458717584902132,-0.008863350803697045,0.004375330157199653,0.0037
2013-06-12,-0.005344849579980604,0.008582359303274778,-0.0029412954946213266,0.0037
2013-06-13,-0.007253177400476929,-0.007414519846736134,0.0013524804161956783,0.0037
2013-06-14,0.009771029341351323,0.004047958197558543,-0.004861535775425169,0.0073
2013-06-17,0.0069379162337313005,0.00040849791284802706,0.002314169328664989,-0.0149
2013-06-18,0.01438043552678181,-0.007645217713870167,0.004929643440971798,0.0453
2013-06-19,-0.004891882603969222,-0.006116547067591682,-0.0007934619157859701,0.0036
2013-06-20,-0.025376929960724937,-0.046770824202194916,0.00869364520753238,0.0036
2013-06-21,-0.002815728380097582,0.009984698615822296,0.0036916351865051156,0.0502
2013-06-24,-0.016177781863225604,-0.009935809618281333,0.0007836990996723248,0.1379
2013-06-25,0.005067951096050294,-0.00901139266871187,-0.0005485248736835091,0.003
2013-06-26,0.004672023066474296,-0.03656041648863617,-0.003297482771207283,0.003
2013-06-27,0.0043809321437287,-0.027394532596159316,-0.0025196863724554486,0.003
2013-06-28,0.01034073348095177,0.022039638681848217,-0.0025260512326983897,0.009
2013-07-01,-0.0030231912105627146,0.01793295658141769,0.0013427591765136637,-0.0327
2013-07-02,0.01025942403370017,-0.001143843121203858,-0.0003947420412051539,0.0031
2013-07-03,-0.01390830646677621,0.008512618775146308,0.004962398431199028,0.0031
2013-07-04,0.005617696930253047,-0.0025549853349335905,-0.001100629041924539,0.0031
2013-07-05,0.00715866185100289,-0.02259243285818613,0.0036118129716207203,-0.1006
2013-07-08,-0.004508955972815087,0.01724796091673575,0.0067955738959945,0.0034
2013-07-09,0.007312831566125055,0.009991311709639739,-0.00593380879115285,0.0034
2013-07-11,0.018916325522205568,0.010836158728804612,-0.012599583955792693,0.0067
2013-07-12,-0.003966092989401204,-0.0006178217039574108,-0.0010307235798552583,0.0502
2013-07-15,0.00023482592091816912,0.0020558671977424225,0.0028517129591886514,0.0032
2013-07-16,-0.0036708192843786236,0.003521563961471408,-0.0019002381014892045,-0.0349
2013-07-17,-0.005169994525882515,-0.011024570633672681,-0.00047562426580330386,0.0033
2013-07-18,0.003071644498753301,0.010280657926106329,0.0036406846702991824,0.0033
2013-07-19,-0.0015361989257467457,0.008823577653644499,0.0014999016034760448,0.0098
2013-07-22,0.006541982290061199,0.026179300796576044,-0.003951949500046459,0.0453
2013-07-23,0.005983270291562093,0.009763036220669541,-0.0007130125079254646,0.0031
2013-07-24,0.006433333260389418,-0.014996888908309636,0.002216593687803664,0.0062
2013-07-25,-0.012005477168075984,0.006741164025054758,0.002369482192252942,-0.0368
2013-07-26,0.0001297942762548132,-0.008557673242596486,-0.00411067772515597,-0.0318
2013-07-29,0.00026880599321010834,0.006604854836526286,0.003084591364952982,0.0033
2013-07-30,0.0026163083654502373,0.0014842523578586508,0.002129926257824849,0.0033
2013-07-31,-0.007273456543490653,-0.0008309098940877391,0.003775370222877855,-0.0392
2013-08-01,0.0066076878180432175,-0.006911371648466336,-0.0018859034349570092,0.0034
2013-08-02,0.003336712128010788,-0.004422055129429836,0.0032980006335941725,0.0102
2013-08-05,-0.0037993124434283487,-0.006905763543922028,-0.003927426303469789,0.0034
2013-08-06,-0.0052268052462576264,-0.016885422662456406,-0.002995194167948162,0.0033
2013-08-07,0.0015554319303792141,0.0033092588058503125,0.0012622279997075714,0.02
2013-08-13,0.003668731610039444,-0.0068086330950212215,0.0007131820104972764,-0.02
