,phase1,phase2,phase3,phase4,phase5
ARG,0.0,0.0,0.052771517922022636,0.0,0.0
AUS,0.13350078766154486,0.036331292601551324,0.048032692949860754,0.22546327250538328,0.023398139840804973
BRA,0.19075858034608334,0.12433030802933107,0.35697402026833114,0.21582788394422087,0.11356720911385267
CAN,0.0349185481088802,0.09379453550018037,0.08035092217038839,0.21153549241186737,0.12230790434013201
CHN,0.01162337676065472,0.012511456888053232,0.03578225532561688,0.12673372157680277,0.07217836512394253
FRA,0.05326781465434043,0.06207732747623213,0.010444865416550715,0.0744144136646793,0.014464042931105679
GER,0.011935843269366609,0.047915021487196355,0.03590838217190906,0.05706107427205907,0.19268932262091182
IND,0.17830823396593928,0.012632831432917572,0.024478902726970248,0.06899608451304658,0.012807903715435632
JPN,0.015193830670240771,0.011630697535424355,0.025147856127794136,0.029128551009785474,0.0878232547534097
KOR,0.08217800545779078,0.0571448497542044,0.19289423016801113,0.212917480730646,0.055378769821792725
MEX,0.17999427295473425,0.22250412833128516,0.3569841364368497,0.1678908565066662,0.10768601374828127
RUS,0.15793693472837741,0.17909315143721916,0.1489559202446492,0.16250433579667667,0.19901382804429685
SIN,0.04633986809123796,0.028289559656494552,0.00956963890763911,0.09766641334472621,0.03987625643240333
THA,0.043645648662738845,0.07549729246789962,0.07100355353360299,0.2529553760588534,0.02227853530600354
UK,0.0,0.04825457155275493,0.1735614352722785,0.09712912953245367,0.007857757458207461
US,0.15187856556698776,0.2783823540702627,0.22531363535343843,0.22317224395215426,0.0
