,phase1,phase2,phase3,phase4,phase5
ARG,0.12807497329946577,0.09510764383498993,0.14366058857748687,0.15988499569078332,0.12095991005114211
AUS,0.22802778829770304,0.14607545313690193,0.21726490918443384,0.2445952421157569,0.18889913072817294
BRA,0.24066269531029652,0.1697751567083969,0.12506432226785366,0.1913666910771159,0.07702091767529873
CAN,0.19777828861487362,0.29934192260419895,0.23871621080328143,0.2692820918851691,0.20199017370173514
CHN,0.1931089999567778,0.05005752228318449,0.15311696107581552,0.20748566933357204,0.057976496115902644
FRA,0.3063353661954014,0.2226787712749421,0.16269770169241526,0.12517574589834166,0.165719873041275
GER,0.22621614654200894,0.2548530268957197,0.13665550298005372,0.15460561460046057,0.2708615721180402
IND,0.17961034841591256,0.205937018362683,0.19202108516185012,0.12952266882159835,0.18316106637759544
JPN,0.24341388897879163,0.25689067991274317,0.12920704814398093,0.15814502761677435,0.11421392869621128
KOR,0.17068073499846456,0.24947766018379022,0.2380719058711678,0.24779985155454495,0.3554045895527275
MEX,0.26673098258026084,0.18341582379410434,0.2640459439684745,0.23813969999358994,0.11165018511499661
RUS,0.27519329032455087,0.16397837677417382,0.14674965127591758,0.1780792546950726,0.16365757912355391
SIN,0.17607298941482397,0.094804315753682,0.15059449569980518,0.12439740089897428,0.08490154295100771
THA,0.17820598618078212,0.09169710226025292,0.07345784556330438,0.19441586616427728,0.023289750677658795
UK,0.13482060431025317,0.10649607614283527,0.0773814171417869,0.12000529239747042,0.0952910902091604
US,0.15569966685362926,0.22537725916960677,0.1342012954552188,0.18091489384547504,0.18854383955245796
