,phase1,phase2,phase3,phase4,phase5
ARG,0.07605912017515962,0.028722142190901953,0.1422810204752705,0.2144746387270087,0.02853808342973353
AUS,0.05250422898529694,0.080508042730083,0.08089311440012621,0.13145117625299318,0.06099490088125008
BRA,0.2997492388594149,0.26780393177369577,0.06854446621978907,0.142172516492106,0.16569574149101965
CAN,0.19993738051478305,0.23442507738271862,0.18861259288295118,0.1271107724372327,0.03687178037380397
CHN,0.1142397464908199,0.1728601085739923,0.2206575525457064,0.3238910957244154,0.1540834979664816
FRA,0.21027356939117162,0.5183267452092871,0.08193285864770672,0.07572430503747055,0.2542719260855982
GER,0.22454139296923564,0.33110865216563246,0.09407980613774247,0.09591098679318909,0.14496290610271123
IND,0.11765448705972704,0.17651386050791623,0.23190852151507493,0.2806531501894377,0.21110816322714349
JPN,0.16362631051207277,0.2542474895500241,0.1545271165953852,0.17146082178025043,0.1059316451524293
KOR,0.06082417706722071,0.2484374962131773,0.20571038915317022,0.14119486734494466,0.41267109913195255
MEX,0.2462684692840606,0.33008553468900165,0.3303711160629844,0.24523407449611664,0.038019969402101006
RUS,0.27330531544287506,0.26543263699289704,0.14126473877137635,0.170636491600276,0.23715632474594334
SIN,0.18711697666932484,0.1800882689472708,0.22999975760210423,0.16335813404433958,0.19096970708815061
THA,0.12399444042763386,0.11096242746700079,0.09435810374730946,0.34251523740110695,0.14315516075477597
UK,0.035758853916529644,0.042451018766927924,0.0740164425419681,0.07570454369345425,0.05755722698662427
US,0.1296257292824909,0.3553559449416293,0.12382378246429783,0.07088973777186697,0.36270539911040905
