,phase1,phase2,phase3,phase4,phase5
ARG,0.12644059582371894,0.07628028362621432,0.1270033107416757,0.14606223285778858,0.20400763083085513
AUS,0.13310363833083597,0.20611069884846345,0.2421416145211313,0.29170638138605093,0.05074027178930562
BRA,0.0836528189301915,0.05083241852393864,0.06226890606942241,0.07456055621874427,0.12452466053877076
CAN,0.3457621545605844,0.5110524127659596,0.36972811474808687,0.44722547209615704,0.24945331164261864
CHN,0.02329907069640091,0.027309193656148766,0.06011407463421845,0.04477872859032106,0.025802048352642694
FRA,0.18186176674359106,0.05444442172962679,0.07703821393727439,0.08292510601346421,0.060012677319980945
GER,0.0896426524696784,0.1356694436351133,0.06306720254390925,0.0762663817730366,0.09594027769856368
IND,0.07183733387162726,0.15587606553275746,0.03902505091412695,0.11092677257763764,0.0423151350966608
JPN,0.14005871713099693,0.06602405224591008,0.06923713908700926,0.05265799603837634,0.03603220545352883
KOR,0.2320945704327524,0.29325742241069447,0.12989948015038633,0.3152591175481164,0.08247587426709868
MEX,0.16184962130694372,0.20131976784303315,0.1303014125822597,0.18803131478730337,0.07692191235093288
RUS,0.14830914664040437,0.18554374300088836,0.12052013916528316,0.3561883928740687,0.27062962888023256
SIN,0.0797059315459151,0.0758482329176427,0.12068195688442067,0.054921879964628655,0.021255274022696228
THA,0.268422407243388,0.11289534682992493,0.12402238593685591,0.21519724149785222,0.16704928255712068
UK,0.12779374453153378,0.11680894329127098,0.14825138991252954,0.08765686780193377,0.10729386406779111
US,0.2894817483268499,0.29996618483262316,0.17380419846108064,0.23537075569945884,0.3388564517545726
