,phase1,phase2,phase3,phase4,phase5
ARG,0.009733218262361985,0.044925453058431916,0.07244281958460373,0.10244954025525788,0.13549627714976964
AUS,0.19185902717776898,0.2153794629230428,0.3371130005577103,0.1257236270464598,0.261443694428514
BRA,0.22474659867995916,0.031739838917620014,0.10091778668346599,0.22223616636464966,0.01965076663373687
CAN,0.14703681135464886,0.30169448287623685,0.22717507042207838,0.18047702229390386,0.20648668968681155
CHN,0.21974164246749864,0.18239274357999133,0.13565377859060265,0.32024812037754086,0.11212561963807674
FRA,0.25914840550836105,0.30567030975001147,0.21177465457137692,0.12565786957263494,0.13284618861142686
GER,0.23971585937202358,0.3447287514705133,0.3428749030920084,0.3058701231126492,0.23184910373226358
IND,0.1273556917995293,0.20060776741534145,0.07505077473095391,0.1987588171798469,0.08748275808215396
JPN,0.5809227276543858,0.5050607701346683,0.17923163223075744,0.18477230009107257,0.11121454906158469
KOR,0.09237980323504723,0.09185066413469878,0.17863809401994935,0.30134203417757127,0.1416310719555836
MEX,0.09744197557787268,0.023679038931894998,0.0661288591632081,0.07103839600131816,0.0
RUS,0.17047766883650203,0.03516848002857318,0.01849113761094583,0.07324592110873865,0.19818956143823813
SIN,0.04411327421358405,0.061208596307704144,0.14073994552203167,0.08000405328995357,0.0
THA,0.06778696334602467,0.061033727917053304,0.08310648670157823,0.1625010476286474,0.11214171772723532
UK,0.004219417827666115,0.23143318345175345,0.15118857346003065,0.1788284987863091,0.19509589158394317
US,0.1204125200705739,0.21511304085455377,0.06790256497531773,0.08270485508619108,0.23068949435352765
