,phase1,phase2,phase3,phase4,phase5
ARG,0.010439843113926477,0.0,0.031206692404260498,0.0,0.0
AUS,0.007295095829032487,0.00021792925353587546,0.001579604044272149,0.13579486876264682,0.023865441034562125
BRA,0.062163406383382074,0.17324914869209976,0.21156687656284753,0.07712891127558859,0.0
CAN,4.960037004119722e-05,0.06196878399053973,0.027640719075019603,0.06585805753292936,0.08020654188977293
CHN,0.10360185549888073,0.13253518904588374,0.027284328672519426,0.018730612923361593,0.1130907989781684
FRA,0.03421122677034453,0.0,0.0,0.022223715444672214,0.05923140358684958
GER,0.04068063039967766,0.07245113422254229,0.00455585326989261,0.010086764490874044,0.023865441034562125
IND,0.052896598814348876,0.06240807584057658,0.021779043118006623,0.03856290306650649,0.029944664509812514
JPN,0.0,0.04582483564585178,0.004103856678561377,0.007648683342979425,0.006704934574865276
KOR,0.03532414638177987,0.07958363631175752,0.012851079465887292,0.10184305675396517,0.029944664509812514
MEX,0.05618697781562931,0.13173785477543623,0.0488928205391159,0.10395881381996723,0.05107796701879502
RUS,0.09413711589932455,0.11453507902246195,0.04026260620365476,0.1579790753577104,0.26948087130068443
SIN,0.0,0.09205250905718743,0.0627435812864125,0.0,0.0
THA,0.015908252927343207,0.04358303880774037,0.02357258108118405,0.0293355748093423,0.13793350060764464
UK,0.006659198115925237,0.00021792925353587546,0.05666451187194838,0.06640605203564416,0.04002933924597339
US,0.0,0.04837193041027181,0.15469633053824014,0.05541775288956544,0.04002933924597339
