,phase1,phase2,phase3,phase4,phase5
ARG,0.058573174724631964,0.05788200986292144,0.05725346922600828,0.09116135074153643,0.05684572378816114
AUS,0.13328397804285416,0.04581428908586478,0.02856395078899933,0.09257996700744896,0.1581563594513577
BRA,0.132565184593126,0.06833102793098103,0.16846342976568854,0.09857102330810323,0.0
CAN,0.09082376142093171,0.12494513390731689,0.10382722398270207,0.13501855258328524,0.09508474620985465
CHN,0.12910099300788694,0.04227172094113612,0.11698454261443571,0.1340477592138143,0.18133759116928871
FRA,0.0966582648258397,0.09446801930178576,0.03348108220205298,0.04526246723739657,0.03856444674127987
GER,0.207828928579226,0.08716948852706151,0.03215766339949459,0.04774034749603212,0.022737476851164277
IND,0.17761217269434598,0.0110798750382324,0.07045932245749938,0.04595388543838284,0.0861801025230991
JPN,0.15973443719072092,0.049826509114287314,0.13400642306873062,0.10781637564759189,0.14159986388690202
KOR,0.08971871382505626,0.028976454742837197,0.11513207724259168,0.05781488962869661,0.06278671528583994
MEX,0.06960710764393697,0.0552760555597392,0.0705400848650092,0.08163746739435321,0.14886196618718314
RUS,0.18400082918628388,0.06855185926387528,0.09285086256453204,0.049669417673692526,0.2741089697360426
SIN,0.06070831705512001,0.09421475854678912,0.033821966619913726,0.009949420322904853,0.0
THA,0.10349920066127216,0.028976454742837197,0.058302265976982834,0.10059731412225152,0.04726101351167825
UK,0.08801342018305201,0.0566656729284177,0.09637465667396984,0.07380710362640548,0.06220901012603003
US,0.1300264641490727,0.13061405124237627,0.086425881563325,0.04845290692744485,0.1259030390793948
