,phase1,phase2,phase3,phase4,phase5
ARG,0.048021282624629534,0.030142925689119096,0.0934021208614938,0.06675883214454534,0.016471290770222025
AUS,0.06201385450633654,0.058942191230906334,0.021452842741225806,0.06106759516399812,0.058207580723189684
BRA,0.12666468743984718,0.11027536682401938,0.06112863771703276,0.07827976515223316,0.12935613598840184
CAN,0.04667864380088489,0.12327388063058796,0.1142051979395993,0.13088195115799953,0.041112145997672614
CHN,0.09160015214193465,0.09035628526024253,0.12358028025191428,0.21233809097120762,0.10506122186267712
FRA,0.04173966610615526,0.12052776873360764,0.06062967322687836,0.040385906026804204,0.027207344189329477
GER,0.16228314564803625,0.1828208619261319,0.05186436842079229,0.040261070910930855,0.10718154220828395
IND,0.0739185637300743,0.09792305141506341,0.11232602747103028,0.10784481908677393,0.03795184076225701
JPN,0.06356898218432695,0.13798584655359197,0.1115339100490812,0.03134657370141569,0.13946471917705308
KOR,0.03372596055181871,0.21394669524835863,0.13361929967210295,0.10839477995641636,0.09588057410028251
MEX,0.11238591908754302,0.15567521347446797,0.06745835485760839,0.2252026183258481,0.05968974481825798
RUS,0.14144075335540088,0.19612591308416844,0.08715068566334273,0.04035833052899899,0.21916926102121156
SIN,0.07210065234240372,0.054179061277524754,0.07281572880450662,0.026192577041353148,0.026482587728447336
THA,0.08230647761185797,0.08280147256298794,0.11136184482464685,0.16990445966136627,0.10469793344935006
UK,0.0020360523538760686,0.00878735255077462,0.06811254964729023,0.04751469930758706,0.08912468263379375
US,0.010979227198128797,0.18838215670580497,0.031848006227789216,0.09274945478803613,0.13418164908863392
