,phase1,phase2,phase3,phase4,phase5
ARG,0.05292707660939481,0.05757188051288285,0.17950877910842228,0.059299099150186475,0.017617462654563456
AUS,0.19483425593671538,0.25450079981036483,0.14365377724954323,0.10103579801877868,0.18899633016496198
BRA,0.07564884649028106,0.10485053862784392,0.010460360357340258,0.05299363415580951,0.04485095987445777
CAN,0.24696177574461287,0.1620300280452692,0.02019319339500574,0.08809176657481406,0.17822647089594165
CHN,0.06270591838898636,0.06211372301850159,0.054135667529841947,0.05186056739338163,0.014300435499546084
FRA,0.07289319755729741,0.07185265597543511,0.0587071731904916,0.05266607720250611,0.011356677163490838
GER,0.07972280091723566,0.07153313351703688,0.05366536371846137,0.013441603201336194,0.011206244665537874
IND,0.0784431509707448,0.10525811771506785,0.024610830078055927,0.05770104848528668,0.13012023077057783
JPN,0.07761610585568836,0.01355740907916296,0.02598323089904363,0.038725092499891124,0.014654698377367022
KOR,0.04614496698500326,0.02525500357033737,0.05423707262124757,0.07009396286631568,0.13624480281574758
MEX,0.058150180600535756,0.0840277758460402,0.0,0.09601563874732724,0.011804602617244166
RUS,0.192624936418301,0.26461233916703175,0.12586521681344487,0.10375485477267662,0.17822647089594165
SIN,0.06730841790754595,0.10982056026567838,0.05956798376308619,0.0,0.0658956729191343
THA,0.09916346978677675,0.05719986405398865,0.09999895599059082,0.13588722733471892,0.034976007236278264
UK,0.14458984043142514,0.18012346311794586,0.13461272239551222,0.07474530267109457,0.0
US,0.2652032992079265,0.13456607469479095,0.2352506972442141,0.10509902426593985,0.05321603288343322
