,phase1,phase2,phase3,phase4,phase5
ARG,0.11018991757677664,0.048422468520784225,0.04469829430811917,0.11462846989842812,0.006327841421466423
AUS,0.09247245811716746,0.13769940884303242,0.0965282342348053,0.044815746178461145,0.06651500489441985
BRA,0.056638450451919405,0.0321728320613282,0.20443615507472723,0.11016795810557115,0.025838937378186662
CAN,0.05214229757081289,0.03713125606700039,0.04298105290017284,0.12751012621655244,0.06141938181591699
CHN,0.31366777581817473,0.12815235258673882,0.16148915929608584,0.06536765914452793,0.24683322277994377
FRA,0.03272623894583609,0.07557841149789203,0.09841440545766257,0.013483282473858264,0.13659885266628155
GER,0.058312074039760985,0.20038234882922487,0.0,0.07103484819178979,0.0
IND,0.04081521552673632,0.07473248107843958,0.019753946072245725,0.011958400081725024,0.13122039093328752
JPN,0.313423601088542,0.2771420238919165,0.08069802286528009,0.12692301817943105,0.3885946968377683
KOR,0.025571451393447752,0.040398557144539216,0.08002641666295979,0.1169704655132918,0.025222265869634747
MEX,0.0794967173068916,0.09003910170993265,0.04008945017907031,0.00749693066439977,0.0
RUS,0.038019892813775845,0.02396526145873581,0.0013066404382541523,0.04641422460791239,0.013705542979879014
SIN,0.03950610826673546,0.04791162058850598,0.044897777003180206,0.0,0.0
THA,0.022344814782891576,0.07100983323651311,0.06522882816578057,0.052703621381309414,0.06651500489441985
UK,0.06075984615818728,0.11277963457541894,0.07052281475939892,0.09723362818941683,0.08145276621726241
US,0.010889534295877416,0.1466431802116717,0.017113981793931088,0.06425920129186334,0.4405770348934259
