,Development Status,Country,Abbr.,bond_mean,bond_std,bond_skewness,bond_jb_statistic,forex_mean,forex_std,forex_skewness,forex_jb_statistic,stock_mean,stock_std,stock_skewness,stock_jb_statistic,gold_mean,gold_std,gold_skewness,gold_jb_statistic
0,Developed,Australia,AUS,0.003187,0.117504,9.68104,8441812.19,-0.000179,0.006667,-0.360408,7990.78,0.000129,0.009775,-1.023322,16513.61,0.000226,0.009562,-0.109245,3332.39
1,Developed,Canada,CAN,0.001584,0.046192,0.800811,67590.23,0.000133,0.004413,0.030983,191.44,0.000174,0.009519,-1.628103,177051.14,0.000159,0.009396,-0.315834,4213.61
2,Developed,France,FRA,0.005426,0.170705,13.196873,20655383.19,-4.9e-05,0.00499,0.018653,455.79,0.000217,0.012186,-0.81544,11500.85,0.000189,0.008783,0.016548,2075.8
3,Developed,Germany,GER,0.006079,0.221393,2.487509,560565.68,-8.1e-05,0.005031,0.00322,437.03,0.000225,0.012464,-0.578915,9803.38,0.000191,0.008822,0.015815,2048.3
4,Developed,Japan,JPN,-0.01225,0.439003,-3.824476,18231852.04,0.000192,0.006036,-0.383432,3391.42,0.000439,0.013166,-0.253419,1834.64,0.000251,0.008887,-0.772885,15019.75
5,Developed,Singapore,SIN,0.076777,1.519243,20.299172,19873574.25,3.6e-05,0.003063,-0.006993,508.59,-1.2e-05,0.00816,-0.57321,8808.45,8.7e-05,0.008822,-0.841807,15032.28
6,Developed,UK,UK,0.031137,1.336239,8.892021,21983887.34,-0.000104,0.005895,-1.047412,29087.38,4.1e-05,0.009914,-0.899025,18582.31,0.000174,0.010003,0.499088,20929.87
7,Developed,US,US,0.003243,0.062341,1.035097,9686.2,9.3e-05,0.004289,-0.070177,452.84,0.00041,0.011072,-0.825537,29415.01,5.1e-05,0.009485,-0.509578,5900.76
8,Emerging,Argentina,ARG,0.004333,0.086376,2.858757,97041.78,0.001511,0.01123,16.337846,18357355.0,0.001956,0.025521,-2.953755,279818.06,0.001564,0.014337,4.526026,615882.34
9,Emerging,Brazil,BRA,0.000434,0.019803,3.34885,302399.67,0.00043,0.009533,0.201679,1924.49,0.000189,0.016035,-0.893846,16573.22,0.000399,0.013945,0.176613,1178.47
10,Emerging,China,CHN,0.00021,0.018755,1.877083,85876.94,5.4e-05,0.002481,0.025457,3529.08,9.6e-05,0.01401,-0.655277,3013.04,0.000139,0.009314,-0.681653,6809.61
11,Emerging,India,IND,3.6e-05,0.013608,0.704202,22642.74,0.000171,0.004217,0.615655,9928.27,0.000429,0.010827,-1.322333,36467.4,0.000255,0.00977,-0.353601,4602.16
12,Emerging,Korea,KOR,5.1e-05,0.016953,0.635137,3695.58,9.5e-05,0.0054,-0.287394,842.82,4.6e-05,0.009846,-0.252897,6683.29,0.000193,0.010152,-0.361455,4572.63
13,Emerging,Mexico,MEX,0.000405,0.008715,0.028441,151194.49,0.000154,0.007458,0.847841,7372.49,7.2e-05,0.009843,-0.352902,1174.86,0.000181,0.011496,0.112798,3127.66
14,Emerging,Russia,RUS,0.000647,0.034486,1.396044,1146792.32,0.000448,0.012929,2.686922,239325.28,0.00024,0.015885,-6.709743,3407229.66,0.000486,0.016313,2.190926,214543.1
15,Emerging,Thailand,THA,0.000592,0.050283,31.974394,155940983.22,6.2e-05,0.00323,0.025085,525.04,9.2e-05,0.010157,-1.39502,31763.26,9.9e-05,0.009004,-0.049944,1272.15
