Source,Target,Type,Weight,Color
US_gold,US_stock,Directed,0.0008931472417191832,"[245, 208, 1]"
US_stock,US_forex,Directed,0.38576996965437904,"[128, 1, 128]"
US_stock,US_bond,Directed,0.11199090042418197,"[128, 1, 128]"
US_gold,US_forex,Directed,0.4882623876114197,"[245, 208, 1]"
US_gold,US_bond,Directed,0.29008277589596015,"[245, 208, 1]"
US_bond,US_forex,Directed,0.06040317570048287,"[255, 1, 1]"
US_bond,UK_bond,Undirected,0.222737090744769,"[255, 165, 1]"
UK_gold,UK_stock,Directed,0.3488100647183713,"[245, 208, 1]"
UK_forex,UK_stock,Directed,0.02119691755373837,"[1, 1, 255]"
UK_stock,UK_bond,Directed,0.10494436363306829,"[128, 1, 128]"
UK_gold,UK_forex,Directed,0.6089270544011387,"[245, 208, 1]"
UK_gold,UK_bond,Directed,0.24202871396772013,"[245, 208, 1]"
UK_forex,UK_bond,Directed,0.11413381698574813,"[1, 1, 255]"
US_forex,KOR_forex,Undirected,0.545643116855899,"[1, 128, 1]"
KOR_gold,KOR_stock,Directed,0.07699197812053954,"[245, 208, 1]"
KOR_forex,KOR_stock,Directed,0.7465042116870252,"[1, 1, 255]"
KOR_bond,KOR_stock,Directed,0.050560056610720716,"[255, 1, 1]"
KOR_forex,KOR_gold,Directed,0.3262149350642387,"[1, 1, 255]"
KOR_bond,KOR_gold,Directed,0.005882640670418979,"[255, 1, 1]"
KOR_forex,KOR_bond,Directed,0.1769379844915056,"[1, 1, 255]"
US_forex,RUS_forex,Undirected,0.43783239267625,"[1, 128, 1]"
RUS_gold,RUS_stock,Directed,0.1098315435581431,"[245, 208, 1]"
RUS_forex,RUS_stock,Directed,0.2275629417707053,"[1, 1, 255]"
RUS_bond,RUS_stock,Directed,0.23653956685078573,"[255, 1, 1]"
RUS_forex,RUS_gold,Directed,0.1511063348305809,"[1, 1, 255]"
RUS_bond,RUS_gold,Directed,0.024341822825827447,"[255, 1, 1]"
RUS_bond,RUS_forex,Directed,0.00329663389314655,"[255, 1, 1]"
US_forex,AUS_forex,Undirected,0.394742876795907,"[1, 128, 1]"
AUS_gold,AUS_stock,Directed,0.15654902730161496,"[245, 208, 1]"
AUS_stock,AUS_forex,Directed,0.9904837168980589,"[128, 1, 128]"
AUS_stock,AUS_bond,Directed,0.2967556556930639,"[128, 1, 128]"
AUS_gold,AUS_forex,Directed,0.4873794011005029,"[245, 208, 1]"
AUS_gold,AUS_bond,Directed,0.594008635856208,"[245, 208, 1]"
AUS_bond,AUS_forex,Directed,0.07070056591473825,"[255, 1, 1]"
US_stock,JPN_stock,Undirected,0.741384612022794,"[255, 165, 1]"
JPN_stock,JPN_gold,Directed,0.365103285955484,"[128, 1, 128]"
JPN_stock,JPN_forex,Directed,0.22513178144253343,"[128, 1, 128]"
JPN_stock,JPN_bond,Directed,0.13974094579026677,"[128, 1, 128]"
JPN_forex,JPN_gold,Directed,0.13675037491964093,"[1, 1, 255]"
JPN_bond,JPN_gold,Directed,0.004306317287792041,"[255, 1, 1]"
JPN_forex,JPN_bond,Directed,0.30690512563320016,"[1, 1, 255]"
US_stock,CHN_stock,Undirected,0.611824146370246,"[255, 165, 1]"
CHN_stock,CHN_gold,Directed,0.0909623059530963,"[128, 1, 128]"
CHN_stock,CHN_forex,Directed,0.17064677568232378,"[128, 1, 128]"
CHN_stock,CHN_bond,Directed,0.05125976379728628,"[128, 1, 128]"
CHN_forex,CHN_gold,Directed,0.1683211575920479,"[1, 1, 255]"
CHN_bond,CHN_gold,Directed,0.01143434409951984,"[255, 1, 1]"
CHN_forex,CHN_bond,Directed,0.025621505227728582,"[1, 1, 255]"
US_stock,ARG_stock,Undirected,0.431904709784276,"[1, 128, 1]"
ARG_stock,ARG_gold,Directed,0.3677791940904197,"[128, 1, 128]"
ARG_stock,ARG_forex,Directed,0.10060744357664048,"[128, 1, 128]"
ARG_bond,ARG_stock,Directed,0.013643701443508821,"[255, 1, 1]"
ARG_gold,ARG_forex,Directed,0.8173790395239222,"[245, 208, 1]"
ARG_bond,ARG_gold,Directed,0.07997634504124776,"[255, 1, 1]"
ARG_bond,ARG_forex,Directed,0.5628684608387734,"[255, 1, 1]"
US_gold,RUS_gold,Undirected,0.443261623419132,"[1, 128, 1]"
US_gold,CAN_gold,Undirected,0.281565729326145,"[1, 128, 1]"
CAN_gold,CAN_stock,Directed,0.16689325277419992,"[245, 208, 1]"
CAN_stock,CAN_forex,Directed,0.3568868504003525,"[128, 1, 128]"
CAN_stock,CAN_bond,Directed,0.09027651387296591,"[128, 1, 128]"
CAN_gold,CAN_forex,Directed,0.452835624300424,"[245, 208, 1]"
CAN_gold,CAN_bond,Directed,0.5401814259136353,"[245, 208, 1]"
CAN_forex,CAN_bond,Directed,0.1278372394311886,"[1, 1, 255]"
US_gold,ARG_gold,Undirected,0.235999488178345,"[1, 128, 1]"
